Time,Unsmoothed Fres,Temp,Fres
900,1779.92,20.17,1782.1226666666664
902,1783.25,20.22,1782.1039999999998
904,1786.98,20.18,1782.5193333333332
906,1781.17,20.14,1782.508
908,1784.26,20.11,1782.6726666666666
910,1781.39,20.2,1782.6186666666665
912,1781.14,20.11,1782.2820000000002
914,1781.07,20.1,1782.3586666666667
916,1783.06,20.14,1782.3900000000003
918,1782.73,20.17,1782.5753333333337
920,1782.79,20.13,1782.4213333333337
922,1781.79,20.09,1782.3213333333338
924,1783.08,20.02,1782.3273333333336
927,1782.49,20.04,1782.2913333333336
929,1780.59,19.99,1782.3806666666667
931,1787.19,20.06,1782.8653333333334
933,1778.86,20.01,1782.572666666667
935,1782.15,19.93,1782.2506666666666
937,1780.78,19.93,1782.2246666666665
939,1785.25,19.99,1782.2906666666663
941,1782.47,20.05,1782.3626666666664
943,1779.73,19.93,1782.2686666666666
945,1782.43,19.96,1782.3593333333333
947,1782.12,19.89,1782.2966666666666
949,1780.35,19.94,1782.138
951,1778.86,19.84,1781.876
953,1781.75,19.92,1781.8733333333332
955,1782.91,19.86,1781.862
957,1783.57,19.9,1781.934
959,1780.03,19.89,1781.8966666666668
961,1784.64,19.87,1781.7266666666665
963,1779.78,19.86,1781.788
965,1782.93,19.84,1781.8400000000001
967,1783.19,19.87,1782.0006666666668
969,1782.0,19.76,1781.7839999999999
971,1782.33,19.78,1781.7746666666667
973,1782.49,19.85,1781.9586666666667
975,1781.53,19.76,1781.8986666666665
978,1783.41,19.83,1781.9846666666665
980,1783.1,19.81,1782.1679999999997
982,1780.84,19.74,1782.2999999999997
984,1782.83,19.72,1782.3719999999996
986,1780.15,19.78,1782.1879999999996
988,1783.9,19.8,1782.21
990,1783.11,19.87,1782.4153333333334
992,1784.48,19.71,1782.4046666666666
994,1782.95,19.69,1782.6160000000002
996,1783.52,19.76,1782.6553333333334
998,1783.74,19.8,1782.6919999999998
1000,1780.57,19.83,1782.5966666666666
1002,1783.41,19.67,1782.6686666666665
1004,1783.03,19.72,1782.7046666666668
1006,1785.88,19.68,1782.9946666666665
1008,1788.21,19.72,1783.3146666666667
1010,1781.04,19.72,1783.1773333333335
1012,1783.82,19.68,1783.3759999999997
1014,1779.16,19.71,1783.1313333333335
1016,1783.2,19.67,1783.3346666666662
1018,1783.02,19.66,1783.2759999999994
1020,1781.86,19.6,1783.1926666666664
1022,1780.18,19.64,1782.906
1024,1786.71,19.62,1783.1566666666668
1026,1781.11,19.68,1782.996
1028,1780.69,19.67,1782.7926666666665
1031,1781.21,19.6,1782.8353333333332
1033,1782.59,19.58,1782.7806666666663
1035,1784.22,19.57,1782.8599999999997
1037,1780.21,19.63,1782.4819999999997
1039,1783.58,19.53,1782.1733333333334
1041,1782.47,19.6,1782.2686666666666
1043,1779.14,19.66,1781.9566666666667
1045,1781.43,19.53,1782.108
1047,1781.79,19.63,1782.0140000000001
1049,1781.4,19.64,1781.906
1051,1780.19,19.6,1781.7946666666664
1053,1780.15,19.5,1781.7926666666667
1055,1782.09,19.46,1781.4846666666667
1057,1781.36,19.55,1781.5013333333334
1059,1780.72,19.55,1781.5033333333333
1061,1780.47,19.5,1781.4540000000002
1063,1782.8,19.64,1781.468
1065,1781.19,19.55,1781.266
1067,1778.32,19.54,1781.14
1069,1781.27,19.52,1780.9860000000003
1071,1780.6,19.56,1780.8613333333335
1073,1781.79,19.48,1781.0380000000002
1075,1782.39,19.49,1781.102
1077,1781.46,19.54,1781.08
1079,1779.77,19.6,1780.9713333333332
1082,1779.05,19.56,1780.8953333333332
1084,1781.73,19.48,1781.0006666666663
1086,1779.52,19.41,1780.829333333333
1088,1780.58,19.51,1780.777333333333
1090,1782.97,19.52,1780.9273333333329
1092,1780.41,19.54,1780.923333333333
1094,1781.54,19.51,1780.8393333333331
1096,1779.53,19.51,1780.7286666666666
1098,1781.29,19.54,1780.926666666667
1100,1777.81,19.55,1780.6960000000001
1102,1784.89,19.51,1780.9820000000002
1104,1780.4,19.52,1780.8893333333335
1106,1785.66,19.46,1781.1073333333336
1108,1779.0,19.46,1780.9433333333332
1110,1782.71,19.44,1781.1393333333333
1112,1780.65,19.49,1781.246
1114,1781.98,19.51,1781.2626666666667
1116,1777.78,19.46,1781.1466666666665
1118,1784.67,19.48,1781.4193333333333
1120,1781.33,19.51,1781.31
1122,1779.78,19.46,1781.268
1124,1779.02,19.37,1781.1
1126,1779.7,19.36,1781.1113333333335
1128,1780.16,19.44,1781.036
1130,1782.05,19.42,1781.3186666666668
1132,1781.16,19.4,1781.07
1135,1783.15,19.29,1781.253333333333
1137,1785.87,19.39,1781.2673333333332
1139,1777.52,19.38,1781.1686666666667
1141,1780.95,19.31,1781.051333333333
1143,1783.76,19.28,1781.2586666666664
1145,1779.95,19.36,1781.1233333333332
1147,1783.1,19.47,1781.478
1149,1781.46,19.33,1781.264
1151,1786.0,19.33,1781.575333333333
1153,1783.45,19.42,1781.82
1155,1779.65,19.4,1781.862
1157,1782.02,19.43,1782.0166666666667
1159,1782.11,19.33,1782.1466666666668
1161,1779.84,19.33,1781.9993333333334
1163,1785.09,19.36,1782.2613333333336
1165,1782.47,19.34,1782.2160000000003
1167,1786.17,19.41,1782.236
1169,1781.91,19.38,1782.5286666666668
1171,1784.55,19.28,1782.7686666666668
1173,1783.46,19.28,1782.7486666666668
1175,1782.12,19.3,1782.8933333333332
1177,1780.86,19.3,1782.744
1179,1781.8,19.33,1782.7666666666667
1181,1781.76,19.31,1782.484
1183,1783.28,19.3,1782.4726666666663
1185,1782.67,19.34,1782.674
1187,1783.71,19.32,1782.7866666666666
1190,1779.65,19.35,1782.6226666666669
1192,1780.44,19.37,1782.6626666666668
1194,1780.8,19.25,1782.3766666666666
1196,1781.34,19.25,1782.3013333333333
1198,1782.59,19.31,1782.0626666666667
1200,1777.46,19.29,1781.766
1202,1782.23,19.32,1781.6113333333333
1204,1781.51,19.4,1781.4813333333332
1206,1783.13,19.26,1781.5486666666666
1208,1777.53,19.37,1781.3266666666666
1210,1779.81,19.35,1781.1939999999997
1212,1783.39,19.35,1781.3026666666665
1214,1785.53,19.31,1781.4526666666663
1216,1782.78,19.3,1781.46
1218,1780.18,19.33,1781.2246666666667
1220,1779.63,19.3,1781.2233333333334
1222,1779.95,19.3,1781.1906666666669
1224,1781.98,19.35,1781.2693333333334
1226,1779.91,19.24,1781.174
1228,1779.33,19.27,1780.9566666666667
1230,1780.99,19.33,1781.192
1232,1779.29,19.31,1780.9959999999999
1234,1779.47,19.23,1780.86
1236,1781.07,19.32,1780.7226666666666
1238,1781.2,19.26,1780.9673333333333
1240,1779.58,19.31,1780.952
1243,1782.24,19.3,1780.8753333333334
1245,1780.11,19.33,1780.5140000000001
1248,1782.71,19.31,1780.5093333333334
1251,1779.73,19.36,1780.4793333333334
1253,1782.52,19.22,1780.672
1255,1781.22,19.27,1780.756666666667
1257,1780.7,19.3,1780.6713333333335
1259,1781.77,19.31,1780.7953333333335
1261,1781.87,19.35,1780.9646666666667
1263,1781.55,19.32,1781.0020000000002
1265,1779.85,19.36,1781.0393333333336
1267,1779.52,19.31,1781.0426666666667
1269,1778.9,19.26,1780.898
1271,1783.82,19.43,1781.0726666666665
1273,1782.4,19.29,1781.2606666666663
1275,1780.61,19.33,1781.1519999999998
